feature_1,feature_2,feature_3,feature_4,id,date,y
39.16508528051706,60.25376518246143,137.9860511246353,-35.462685207763606,50501,2000-12-31,active
-12.614289056483715,57.9592367285814,126.2122927812213,44.42064731302854,50501,2001-12-31,90+DPD
0.04381321304734286,-39.29390663859753,138.68717457214035,64.94411234515626,50501,2002-12-31,active
2.296983648736044,49.9966856573595,123.78245558495907,-3.587872593724281,50501,2003-12-31,active
7.188896868020051,-83.53322983725761,150.10204613105034,95.35964062829098,50501,2004-12-31,active
20.60871406290381,-1.2490530315818755,150.55776536422724,64.40167787596005,50501,2005-12-31,active
59.01377625310205,,157.72589134499353,-0.20322536517533515,50501,2006-12-31,active
17.111700879740148,123.26251067629121,125.96579356399604,-30.755793790135954,50501,2007-12-31,active
858.5718302050122,191.99746290458958,193.69577249407757,-129.18511802681007,50501,2008-12-31,active
28.228910888869677,67.14521221706175,138.51280738616788,-5.614691397943472,50501,2009-12-31,active
30.051221196238767,65.59648112552195,,15.52733071166175,50501,2010-12-31,active
30.89210772817944,-12.659241084064831,162.500988998026,89.52528392922731,50501,2011-12-31,active
103.11276409627351,139.0090754498055,184.83286124047606,4.959716340975016,50501,2012-12-31,active
59.562761426498675,128.35874422471178,159.5324884369441,6.147096751245014,50501,2013-12-31,active
931.6726984817536,192.16727401148847,2157.9164288733728,-71.39652007272507,50501,2014-12-31,active
102.42018180208017,142.1559800300379,163.9468440991098,-82.66446492390642,50502,2000-12-31,active
-50.435179400023,87.33522985494243,97.59256545540855,17.402118342331338,50502,2001-12-31,90+DPD
-18.75658083868654,22.016803453102256,103.28152770945479,-38.65131341770034,50502,2002-12-31,active
743.2556049052886,172.11742264364636,185.17591630869182,-107.82273886936025,50502,2003-12-31,active
81.44673723682169,109.75503457766605,153.4419462017628,-75.18907925358303,50502,2004-12-31,active
38.589755065542406,19.554423368302256,157.3216348674677,48.32212924517839,50502,2005-12-31,active
40.657397907796856,56.06541313172077,156.73006816837858,40.96947484720742,50502,2006-12-31,active
-41.394892420988704,-9.728143467650614,88.80010270787963,-44.00043152892047,50502,2007-12-31,active
62.538429132317276,-53.16935682216858,169.71640937178972,40.34695072195427,50502,2008-12-31,90+DPD
45.1380199780208,-4.231432989276448,165.63084148689026,67.16054252639505,50502,2009-12-31,90+DPD
92.43184270334405,124.60671819158252,162.54555587374725,-63.71067299934035,50503,2000-12-31,active
-33.43057340494673,60.368144967560845,106.82751465128706,13.856182632415512,50503,2001-12-31,90+DPD
2.5345140193693663,18.226695358944557,130.52484579034288,24.341332079350952,50503,2002-12-31,90+DPD
4.103618235304342,15.391796135597339,134.3919983715071,36.91581953902402,50503,2003-12-31,active
120.62566235430921,160.65974137181195,179.0938446176414,-63.44995064123201,50503,2004-12-31,active
67.16917051357821,98.12568848394037,158.33603772190182,-18.432720482524918,50503,2005-12-31,active
90.32245731808833,140.17901892607605,159.7508341107997,-70.20160505999763,50503,2006-12-31,active
-10.469613141515987,39.62488668788623,101.34418793216673,-67.61355555291794,50503,2007-12-31,active
66.85778925097286,92.6757480705117,151.15288490828638,-48.452868265161875,50503,2008-12-31,active
95.93067284272412,118.65202740209946,159.20200813626994,-86.88959919282851,50503,2009-12-31,active
46.39349082947433,118.52245756384413,153.97599082844053,15.400729795178984,50503,2010-12-31,active
20.702707309339026,-74.33127326129741,123.60450872607112,-51.97108844775008,50503,2011-12-31,90+DPD
-27.024954672363705,89.06474096203833,120.49783499379909,56.55131270481332,50504,2000-12-31,90+DPD
21.63891550967463,37.451850457780125,,35.19996458234455,50504,2001-12-31,active
680.9755332398634,178.4204148696236,189.93747245442736,-56.02966778805005,50504,2002-12-31,active
26.278240122730008,60.27362534740795,126.21366955151052,-53.42279945882182,50504,2003-12-31,active
29.1949612478881,78.90483756004744,145.8371894622072,23.428628517432962,50504,2004-12-31,active
